Nama;Jenis Penyakit;Cara pengolahan;Cara Pemanfaatan;Bagian Tumbuhan;Jenis Tumbuhan
Kayu Manis;Maag;Direbus;Diminum;Batang;Pohon
Akar Kuning;Cacingan;Direbus;Diminum;Batang;Liana
Puring;Cacingan;Direbus;Diminum;Batang;Herba
Hiring;Maag;Langsung;Dimakan;Batang;Semak
Pulutan;Sakit Gigi;Langsung;Dimakan;Batang;Semak
Hanjuang/Andong;Sembelit;Direbus;Diminum;Akar;Herba
Arben/Rerendem;Disentri;Direbus;Diminum;akar;Perdu
Bunga Pagoda;Ambeien;Direbus;Diminum;Akar;Perdu
Litu/Mintu;Sakit Gigi;Dihaluskan;Dioles;Akar;Semak
Jati Belanda;Diare;Dihaluskan;Diminum;Biji;Pohon
Pepaya;Cacingan;Dihaluskan;Diminum;Biji;Pohon
Kemangi;Disentri;Direbus;Diminum;Biji;Herba
Daruju;Cacingan;Dihaluskan;Diminum;Biji;Perdu
Srigading;Sembelit;Direbus;Diminum;Biji;Perdu
Kacapiring;Sembelit;Direbus;Diminum;Biji;Perdu
Belimbing Wuluh;Usus Buntu;Dihaluskan;Diminum;Buah;Pohon
Kwalot/Buah Makassar;Ambeien;Dihaluskan;Diminum;Buah;Pohon
Tangkuhis/Mata Kucing;Sakit Perut;Langsung;Dimakan;Buah;Pohon
Kinai/Langsat;Sembelit;Langsung;Dimakan;Buah;Pohon
Buah/Tongkol Ulur-ulur;Ambeien;Direbus;Diminum;Buah;Liana
Mengkudu;Sembelit;Dihaluskan;Diminum;Buah;Semak
Akar Letup/Ciplukan;Sariawan;Langsung;Dimakan;Buah;Semak
Kenop;Disentri;Direbus;Diminum;Bunga;Herba
Biduri;Maag;Direbus;Diminum;Bunga;Perdu
Daun Kayu Putih;Sakit Perut;Dihaluskan;Dioles;Daun;Pohon
Nangka Belanda/Sirsak;Diare;Direbus;Diminum;Daun;Pohon
Jambu Biji;Diare;Direbus;Diminum;Daun;Pohon
Daun Salam;Diare;Direbus;Diminum;Daun;Pohon
Salam;Maag;Direbus;Diminum;Daun;Pohon
Sikas;Maag;Direbus;Diminum;Daun;Pohon
Limpasu;Sakit Perut;Direbus;Diminum;Daun;Pohon
Arok/Ara;Diare;Langsung;Dimakan;Daun;Pohon
Ombung-ombung/Sembung;Diare;Direbus;Diminum;Daun;Herba
Sisik naga;Sariawan;Direbus;Dikumur;Daun;Liana
Sirih;Sakit Gigi;Langsung;Dimakan;Daun;Liana
Kakabat Biru;Diare;Dihaluskan;Diminum;Daun;Perdu
Sangkariho;Diare;Dihaluskan;Diminum;Daun;Perdu
Daun manggala;Sakit Perut;Dihaluskan;Dioles;Daun;Perdu
Duriot;Sembelit;Dihaluskan;Dioles;Daun;Perdu
Sembung;Maag;Direbus;Diminum;Daun;Perdu
Kelor;Sembelit;Direbus;Diminum;Daun;Perdu
Kusuma Indrat/Patikan Kerbau;Diare;Direbus;Diminum;Daun;Perdu
Sambiloto;Diare;Direbus;Diminum;Daun;Perdu
Saga rambat;Sariawan;Langsung;Dikumur;Daun;Perdu
Uduk-uduk/Karamunting;Sariawan;Langsung;Dimakan;Daun;Perdu
Daun ungu;Ambeien;Direbus;Diminum;Daun;Perdu
Sembora/Tembora;Sakit Perut;Dihaluskan;Dioles;Daun;Semak
Iler/Miana;Ambeien;Direbus;Diminum;Daun;Semak
Katuk;Sembelit;Direbus;Diminum;Daun;Semak
Tabang;Diare;Direbus;Diminum;Daun;Perdu
Rinyuang;Sembelit;Direbus;Dioles;Daun;Pohon
Pulai;Sakit Gigi;Langsung;Dioles;Getah;Pohon
Patah tulang;Sakit Gigi;Langsung;Dioles;Getah;Perdu
Sengkuang;Diare;Direbus;Diminum;Kulit batang;Pohon
Bungur;Diare;Direbus;Diminum;Kulit batang;Pohon
Kayu Serai;Ambaien;Direbus;Diminum;Kulit batang;Pohon
Jambu Mede;Sembelit;Direbus;Diminum;Kulit batang;Pohon
Pempeng/Mahang Damar;Diare;Dihaluskan;Diminum;Kulitbatang;Pohon
Manggis;Sakit Perut;Direbus;Diminum;Kulit Buah;Pohon
Jombang;Maag;Direbus;Diminum;Semua;Herba
Bandotan;Sariawan;Direbus;Diminum;Semua;Herba
Tali Putri;Disentri;Direbus;Diminum;Semua;Liana
Putri malu;Cacingan;Direbus;Diminum;Semua;Perdu
Kucing - Kucingan;Sembelit;Direbus;Diminum;Semua;Perdu
Pegagan;Ambaien;Direbus;Diminum;Semua;Semak
Meniran;Disentri;Direbus;Diminum;Semua;Semak
Ahiok/Jahe;Diare;Dihaluskan;Diminum;Umbi;Herba
Temu Rapet;Disentri;Dihaluskan;Diminum;Umbi;Herba
Kunyit;Maag;Dihaluskan;Diminum;Umbi;Herba
Kencur;Maag;Direbus;Diminum;Umbi;Herba
